isbn,title,author,description,hashtag,clean_text
9.78894E+12,히로시마 내 사랑,마르그리트 뒤라스,"마르그리트 뒤라스 집필한 영화사에 길이 남을 걸작

『히로시마 내 사랑』의 첫 장면은 원자 폭탄 투하로 생긴 버섯구름으로 시작되고, 이어서 두 벗은 어깨가 모습을 드러낸다. 서로 끌어안은 두 어깨는 사랑의 행위에 몰두한 몸인지 죽음으로 향하는 고통에 사로잡힌 몸인지 분간되지 않는다. 중의적인 의미를 담은 이 장면은 작품 내내 독자의 판단을 좌우한다. 우연히 만나 하룻밤을 함께 보낸 그들은 새로 시작되는 사랑과 바로 눈앞에 다가온 이별 사이에서 갈등하고, 그러는 과정에서 고통스러운 개인의 과거와 비극적인 시대의 역사가 중첩되어 나타난다. 그들이 나누는 대화 속에서 일본과 프랑스, 히로시마와 느베르, 현재와 과거, 가해자와 피해자, 사랑과 죽음, 기억과 망각의 중첩과 병치가 일어난다.

시나리오 텍스트인 『히로시마 내 사랑』역시 영화 제작을 위한 지문과 영상에서 실제로 발화될 대사가 공존한다. 그러나 준비용 텍스트가 아닌 독립적인 하나의 ‘작품’으로서 영화 개봉 일 년 뒤에 출간까지 이어졌다. 영화의 대중적 성공 덕분이기도 하지만, 무엇보다 텍스트 자체가 충실하게 ‘문학’의 형식을 취하고 있기 때문일 것이다. 작품의 대사와 등장인물의 태도를 지시하는 지문뿐만 아니라, 시놉시스와 서문, 그리고 부록은 영화를 온전히 이해하게 해 줄 뿐만 아니라 그 자체로도 아름답고 특별한 형태의 문학 작품으로 독자의 마음에 깊은 인상을 남긴다.","세계고전문학, 시나리오 작업, 영화 개봉, 영화 제작, 작품, 프랑스소설",히로시마 내 사랑 마르그리트 뒤라스 마르그리트 뒤라스 집필 영화사 걸작 히로시마 내 사랑 장면 원자 폭탄 투하 버섯 구름 시작 어깨 모습 어깨 사랑 행위 몰두 몸 죽음 고통 몸 분간 중의 의미 장면 작품 독자 판단 좌우 하룻밤 시작 사랑 눈 앞 이별 사이 갈등 과정 고통 개인 과거 비극 시대 역사 중첩 대화 속 일본 프랑스 히로시마 느베르 현재 과거 가해자 피해자 사랑 죽음 기억 망각 중첩 병치 시나리오 텍스트 히로시마 내 사랑 영화 제작 지문 영상 발화 대사 공존 준비 텍스트 독립 작품 영화 개봉 뒤 출간 영화 대중 성공 덕분 텍스트 자체 충실 문학 형식 작품 대사 등장인물 태도 지시 지문 시놉시스 서문 부록 영화 이해 자체 특별 형태 문학 작품 독자 마음 깊 인상 세계 고전 문학 시나리오 작업 영화 개봉 영화 제작 작품 프랑스 소설
9.78894E+12,회색 노트,로제 마르탱 뒤 가르,"파리에서 마르세유까지, 
예민한 두 사춘기 소년이 벌인 일주일간의 가출 사건
노벨 문학상 수상 작가 마르탱 뒤 가르가 그리는 
소년들의 풋풋한 비밀

노벨 문학상 수상에 빛나는 로제 마르탱 뒤 가르의 대표작 『티보 가의 사람들』 첫 권에 해당하는 『회색 노트』가 민음사에서 출간되었다. 지난 2000년 서울대학교 불어불문학과의 정지영 교수가 필생의 역작으로 선보였던 『티보 가의 사람들』을 가볍고 읽기 쉬운 쏜살문고로 다시 정리해 선보인다. 『티보 가의 사람들』은 앙드레 지드, 알베르 카뮈 등 프랑스 현대 문학의 거장들이 입을 모아 격찬한 작품으로, 웅대한 대하소설의 시발점이자 일종의 교양 소설 혹은 성장 소설이다. 전형적인 부르주아 가문에서 태어나 억압적인 가톨릭 교리 속에 성장한 앙투안과 자크 티보 형제의 이야기를 주축으로, 자유분방한 프로테스탄트 집안의 다니엘과 자크가 교류하면서 빚어내는 우정과 영혼의 교감을 들여다볼 수 있다. 『회색 노트』를 통해 누구나 한 번쯤 겪어 보았을 인생의 고뇌와 방황, 정열과 반항의 충동을 절절히 공감하고, 또 되새길 수 있을 것이다.","교양 소설, 대하소설, 성장 소설, 우정, 프랑스소설, 프로테스탄트",회색 노트 로제 마르탱 뒤 가르 파리 마르세유 사춘기 소년 간 가출 사건 노벨 문학상 수상 작가 마르탱 뒤 소년 비밀 노벨 문학상 수상 로제 마르탱 뒤 가르 대표작 티보 가 사람 해당 회색 노트 민음사 출간 서울대학교 불어 불문학 과 정지영 교수 필생 역작 티보 가 사람 살 문고 정리 티보 가 사람 앙드레 지드 알베르 카뮈 프랑스 현대 문학 거장 입 격찬 작품 대하소설 시발점 일종 교양 소설 성장 소설 전형 부르주아 가문 억압 가톨릭 교리 속 성장 앙투 안과 자크 티보 형제 이야기 주축 자유분방 프로테스탄트 집안 다니엘 자크 교류 우정 영혼 교감 있 회색 노트 인생 고뇌 방황 정열 반항 충동 공감 있 교양 소설 대하 소설 성장 소설 우정 프랑스 소설 프로테스탄트
9.78894E+12,황야의 이리,헤르만헤세,"숨 막힐 정도로 집요한 자아 성찰과 냉정한 문명 비판
병적이면서도 아름답고 환상적인, 헤세의 가장 대담한 소설

“고통을 자랑스러워해야 한다.
모든 고통은 우리의 고귀함에 대한 기억이다.”

스스로가 ‘황야의 이리’ 같다고 이야기하는 중년 남자 하리 할러는 가볍고 쾌락적으로 변해 가는 사회에 적응하지 못하고 두 시대 사이에 끼인 정신적 상처를 안은 채 늘 자살만 생각한다. 고통 속에 살던 할러 앞에 그의 분신과도 같은 여인 헤르미네가 나타난다. 할러는 헤르미네를 통해 악사 파블로와 아름다운 창녀 마리아를 만나고 그들과 함께 새로운 세계에 눈을 뜬다. 음악을 듣고 춤을 추고 사랑을 나누고 마술 극장에서 몽환을 체험하며 할러는 새로운 자신, 진정한 자아를 발견한다.
헤세가 쉰 살이 되던 해 발표한 『황야의 이리』는 정신 분열, 마약, 동성애, 그룹 섹스, 고급 창부 등 당시로서는 충격적인 소재를 다룬다. 여기에 더해 치열한 작가 의식과 다채로운 형식 실험이 나타나는 이 작품은 헤세 작품 중 가장 대담한 소설이라 일컬어지며, 헤세는 하리 할러의 수기를 통해 자신의 체험을 고백한다. 『황야의 이리』는 발표된 후 수십 년이 지나도록 미국과 유럽을 뒤흔든 68운동 세대와 히피에게 성경처럼 읽히며 큰 반향을 얻었다.","독일소설, 몽환, 세계고전문학, 작품, 헤르, 형식 실험",황야의 이리 헤르만헤 숨 정도 집요하 자아 성찰 문명 비판 병 환상 헤세 대담 소설 고통 자랑 고통 기억 스스로 황야의 이리 같 이야기 중년 남자 하리 쾌락 사회 적응 시대 사이 정신 상처 자살 생각 고통 속 할러 앞 분신 같 여인 헤르미네 할러 헤르미네 악사 파블로 창녀 마리아 세계 눈 음악 춤 사랑 마술 극장 몽환 체험 할러 자신 자아 발견 헤세 해 발표 황야의 이리 정신 분열 마약 동성애 그룹 섹스 고급 창부 당시 충격 소재 치열 작가 의식 형식 실험 작품 헤세 작품 대담 소설 헤세 하리 할러 수기 자신 체험 고백 황야의 이리 발표 후 미국 유럽 운동 세대 히피 성경 크 반향 독일 소설 몽환 세계 고전 문학 작품 헤르 형식 실험
9.78894E+12,황무지,T. S. 엘리엇,"모더니스트 시인 T. S. 엘리엇을 수식하는 말은 여러 가지다. 낭만적 서정 시인이자 이상적 혁명주의자. 그의 대표작을 묶은 이 시선집 『황무지』는 꿈같은 환상의 세계, 강렬한 주관적 색채, 그리고 사회 정의 구현과 개인의 자유를 위한 투쟁의 기록들로 요약할 수 있다.","가르마, 사랑 노래, 사월, 프랑스 문단, 프루, 황동규",황무지 엘리엇 모더니스트 시 엘리엇 수식 말 낭만 서정 시인 이상 혁명 주의자 대표작 시선 집 황무지 꿈 같 환상 세계 주관 색채 사회 정의 구현 개인 자유 투쟁 기록 요약 있 가르마 사랑 노래 사월 프랑스 문단 프루 황동규
9.78894E+12,환락의 집 1~2,이디스 워튼,"“칙칙한 여성을 누가 원하겠어요?
사람들은 우리가 죽을 때까지 예쁘기를, 잘 차려입기를 기대하고 있어요.”

여성 최초의 퓰리처상 수상 작가 이디스 워튼의 첫 베스트셀러
결혼과 사랑, 세속과 이상 사이의 방황과 비극을 겪는 한 여성의 자아 찾기

▶ 경박한 사회는 오로지 그 경박함이 파괴하는 것을 통해서만 극적인 의미를 얻을 수 있다. -이디스 워튼
▶ 인간들이 자신들의 무지와 통제할 수 없는 힘 속에서 운명과 존중이라 부르곤 했던 것의 가차 없음이 아이스킬로스나 셰익스피어가 그려 보였던 것처럼 생생하게 펼쳐지는, 현대적인 삶의 비극. -《뉴욕타임스》

≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡

20세기 초 미국 문학을 대표하는 작가이자 여성 최초로 퓰리처상을 수상한 이디스 워튼의 첫 베스트셀러인 『환락의 집』이 출간되었다.(민음사 세계문학전집 401, 402) 『환락의 집』은 작가 워튼의 삶에서 하나의 전기가 된 작품이라 할 수 있다. 1905년 11월 출간되어 그해 말까지 무려 14만 부가 판매되며 워튼에게 부와 명성을 동시에 가져다주었던 것이다. 워튼은 문단에 나온 지 십여 년 만에 『환락의 집』을 통해 일약 유명 작가가 되어 이후 독자들에게 한결같은 인기를 누렸다. 19세기 말, 20세기 초 뉴욕의 상류 사회를 배경으로 한 여성의 인생을 드라마틱하게 그려 보이는 이 작품에서도 도덕, 윤리, 사랑, 결혼 등 여성과 사회의 관계에서 중요한 주제들에 대한 워튼의 문제의식을 엿볼 수 있다.","가족, 돈, 미국 문학, 상류 사회, 여성 최초, 작품",환락 집 이디스 워튼 여성 사람 때 예쁘 기대 여성 최초 퓰리처상 수상 작가 이디스 워튼 베스트셀러 결혼 사랑 세속 이상 사이 방황 비극 여성 자아 사회 파괴 극 의미 있 이디스 워튼 인간 자신 무지 통제 없 힘 속 운명 존중 가차 없 아이스킬로스 셰익스피어 현대 삶 비극 뉴욕타임스 세기 미국 문학 대표 작가 여성 최초 퓰리처상 수상 이디스 워튼 베스트셀러 환락 집 출간 민음사 세계 문학 전집 환락 집 작가 워튼 삶 전기 작품 있 출간 그해 판매 워튼 부 명성 동시 워튼 문단 환락 집 유명 작가 이후 독자 한결같 인기 세기 세기 뉴욕 상류 사회 배경 여성 인생 드라마틱 작품 도덕 윤리 사랑 결혼 여성 사회 관계 중요 주제 워튼 문제의식 있 가족 돈 미국 문학 상류 사회 여성 최초 작품
9.78894E+12,홍길동전,허균,"한국의 대표 고전소설『홍길동전』

소설가 김탁환이 풀어 쓰고 백범영 화백이 삽화를 곁들인『홍길동전』. 치밀한 사상사적 연구가 바탕이 된 소설들을 발표해온 김탁환이 조선을 대표하는 문장가 허균이 남긴 최초의 한글소설『홍길동전』을 풀어 옮겼다. 완판 36장본, 경판 24장본, 그리고 완판 36장본의 국립중앙도서관 소장 영인본을 함께 수록하였다.  

허균의 세계관과 이상이 그대로 녹아 있는 작품인『홍길동전』은 사회의 구조적인 모순을 파헤치고 새로운 영웅과 이상향을 탄생시킨 혁명적 유토피아 소설이다. 또한 홍길동이라는 영웅의 활약뿐만 아니라 적서 차별, 탐관오리의 횡포, 승려의 부패, 조정의 무능함 등 임진왜란 이후 조선의 제반 문제를 폭넓게 다룬 사회소설이기도 하다.

이러한『홍길동전』은 시대를 초월해 많은 사랑을 받으며 TV 드라마, 영화, 연극, 애니메이션 등 다양한 형태로 재탄생되었다. 이번 책에서 김탁환은『홍길동전』판각본 가운데 가장 오래된 것으로 학계에서 평가하고 있는 경판 24장본과, 내용이 풍부하고 묘사가 다채로운 완판 36장본을 풀어 옮겼다. 진취적이고 용맹한 홍길동의 활약상을 그려낸 백범영 화백의 삽화가 생생함을 더해준다.","경판, 사회 소설, 세계고전문학, 장본, 한국고전문학, 홍길동",홍길동전 허균 한국 대표 고전 소설 홍길동전 소설가 김탁환 백범 영 화백 삽화 홍길동전 사상사 연구 바탕 소설 발표 김탁환 조선 대표 문장가 허균 최초 한글 소설 홍길동전 완판 본 경판 본 완판 본 국립중앙도서관 소장 영인본 수록 허균 세계관 이상 작품 홍길동전 사회 구조 모순 영웅 이상향 탄생 혁명 유토피아 소설 홍길동 영웅 활약 적 서 차별 탐관오리 횡포 승려 부패 조정 무능 임진왜란 이후 조선 제반 문제 폭넓 사회 소설 홍길동전 시대 초월 많 사랑 드라마 영화 연극 애니메이션 다양 형태 탄생 이번 책 김탁환 홍길동전 판 각본 가운데 학계 평가 경판 본과 내용 묘사 완판 장 본 진취 용맹 홍길동 활약 상 백범 영 화백 삽화 경판 사회 소설 세계 고전 문학 장 한국 고전 문학 홍길동
9.78894E+12,호주머니 속의 축제,어니스트 헤밍웨이,"『호주머니 속의 축제』에는 글쓰기를 도구로 헤밍웨이가 한평생 좇았던 인간 존엄에 대한 애정과 경의가, 특히 가족과 몇 동료 예술가에 대한 구체적인 묘사와 감정이 절절하게 스며 있다. 어디에나 나무가 심겨 있어, 계절의 흐름을 육안으로, 피부로 느낄 수 있는 아름다운 파리 거리를 배경으로 펼쳐지는 가난하고 젊은 문학가의 산책과도 같은 산뜻한 생활기는 책장을 넘기는 우리 여행자 겸 생활자 모두에게 아련한 향수와 동경을 불러일으킨다.","글방, 문학가, 생활기, 스콧 피츠제럴드, 여행자, 육안",호주머니 속 축제 어니스트 헤밍웨이 호주머니 속 축제 글쓰기 도구 헤밍웨이 인간 존엄 애정 경의 가족 동료 예술가 구체 묘사 감정 나무 계절 흐름 육안 피부 있 파리 배경 가난 젊 문학가 산책 같 생활 책장 여행자 생활자 모두 향수 동경 글방 문학가 생활 스콧 피츠제럴드 여행자 육안
9.78894E+12,호재 (황현진 장편소설),황현진,"나는 당신의 알리바이가 아니야!

문학성과 다양성, 참신성을 기치로 한국문학의 미래를 이끌어 갈 신예들의 작품을 엄선한 「오늘의 젊은 작가」의 스물세 번째 작품 『호재』. 고모부의 급작스러운 죽음으로부터 시작되어 죽음의 원인을 직감케 하는 미스터리와 그 죽음을 둘러싼 운명의 가혹함을 드러내는 하드보일드를 축으로, 끝내 정점까지 치달아 오르는 소설이다.

케이블 방송국의 비정규직 작가로 일하는 호재. 유난히 재수가 없던 하루를 겨우 버틴 다음 날, 그는 오랜 시간 연락을 끊고 지냈던 고모의 전화를 받는다. 들리는 소식은 뜻밖에도 고모부의 사고사. 무책임한 부모에게서 버림받듯 고모의 손에 맡겨져 자란 호재는 한때 그곳에서 단란한 시간을 보내기도 했었으나 정상 가족의 범위에서 벗어나 있다는 콤플렉스는 그의 삶을 짓눌렀다. 

고모부의 죽음으로부터 촉발된 호재의 기억은 서울 변두리 여성의 가혹한 성장담과 우연히 알게 된 아버지의 무력한 비밀로 점철된다. 그것들을 없는 듯 털어 내려 홀로서기에 나섰지만, 현실의 고단함은 결코 녹록치가 않다. 고모부의 죽음은 호재를 다시 과거의 연결점으로 돌아오게 한다. 누가 고모부를 죽였을까. 아버지는 지금 어디에 있는가. 호재는 그 사건의 알리바이가 되길 거부한다. 

두이는 어느 날 남편이 강도의 칼에 찔려 죽음을 당했다는 비보를 듣는다. 그에게 남은 가족은 실종된 남동생과 조카 호재뿐이다. 황망한 공기가 내려앉은 빈소에서 두이는 동생 두오가 태어나던 날, 병으로 죽을 뻔했던 날, 고등학교를 졸업하던 날 그리고 부모의 장례식 날을 떠올린다. 그리고 생각한다. 호재는 언제 오는가? 두오는 살아 있는가? 정녕 남편은, 누가 죽였을까. 그리고 깨닫는다. 애써 고개 돌려 외면했던 진실이 스멀스멀 떠올라 눈앞까지 와 있음을.","가족, 고모, 고모부, 미스터리, 알리바이, 죽음, 하드보일드, 한국소설",호재 황 현지 장편 소설 황현 진 알리바이 문학 다양 기치 한국 문학 미래 신예 작품 엄선 오늘 젊 작가 작품 호재 고모부 죽음 시작 죽음 원인 직감 미스터리 죽음 운명 가혹 하드보일드 축 정점 소설 케이블 방송국 정규직 작가 일 호재 재수 없 하루 다음 날 시간 연락 고모 전화 소식 고모부 사고사 책임 부모 고모 손 호재 한때 시간 정상 가족 범위 콤플렉스 삶 고모부 죽음 촉발 호재 기억 서울 변두리 여성 가혹 성장 담 아버지 무력 비밀 점철 없 홀로서기 현실 녹 록 고모부 죽음 호재 과거 연결 점 고모부 아버지 호재 사건 알리바이 거부 날 남편 강도 칼 죽음 비보 가족 실종 남동생 조카 호재 황망 공기 빈소 동생 두오 날 병 날 고등학교 졸업 날 부모 장례식 날 생각 호재 남편 고개 외면 진실 눈 앞 가족 고모 고모부 미스터리 알리바이 죽음 하드보일드 한국 소설
9.78894E+12,호밀밭의 파수꾼,제롬 데이비드 샐린저,"20세기 최고의 베스트셀러이자 전 세계 청춘들을 열광하게 한 성장 소설

20세기 미국 문단의 이단아 J. D. 샐린저의 『호밀밭의 파수꾼』은 사립학교의 문제아 홀든 콜필드가 퇴학을 당하고 집으로 돌아오기까지 며칠간의 일들을 담은 작품이다. 십대들의 언어를 그대로 옮긴 듯한 욕설과 비속어 속에 위트를 간직한 문장으로 청춘만이 공감할 수 있는 페이소스를 녹여 낸 이 소설은 젊은 독자들 사이에서 ‘콜필드 신드롬’을 일으켰고, 홀든 콜필드라는 이름은 반항아의 대명사가 되었다. 전통적인 성장 서사가 자아의 발견과 성찰에 집중하고 있다면, 『호밀밭의 파수꾼』은 인간 존재를 특징짓는 공허함과 소외 그리고 위선적인 기성세대에 대한 예민한 성찰을 보여 준다. 이 작품은 전 세계적으로 누적 판매 7,000만 부를 기록했다.","미국소설, 성장소설, 세계 문학 전집, 세계고전문학, 청춘, 표지 그림",호밀밭의 파수꾼 제롬 데이비드 샐린저 세기 최고 베스트셀러 세계 청춘 열광 성장 소설 세기 미국 문단 이단아 J. D. 샐린저 호밀 밭 파수 사립학교 문제아 홀든 콜필드 퇴학 집 며칠 일 작품 언어 욕설 비속어 속 위트 간직 문장 청춘 공감 있 페이소스 소설 젊 독자 사이 콜 필드 신드롬 홀든 콜필드 이름 반항아 대명사 전통 성장 서사 자아 발견 성찰 집중 호밀 밭 파수 인간 존재 소외 위선 기성 세대 성찰 작품 세계 누적 판매 기록 미국 소설 성장 소설 세계 문학 전집 세계 고전 문학 청춘 표지 그림
9.78894E+12,호라티우스의 시학,호라티우스,"국내 최초로 호라티우스가 남긴 세 편의 서간시를 완역한 &lt;호라티우스의 시학&gt;이 고대 라틴어 대역으로 출간되었다. 호라티우스의 시를 전공한 김남우 박사의 믿음직한 번역으로, 문학뿐 아니라 서양 문화의 2000년 전통을 형성한 거대한 뿌리의 실체를 만나볼 수 있게 되었다.



플라톤은 철학자의 입장에서 시론을 펼치고, 아리스토텔레스는 철학자의 시각에서 비극의 시학을 썼다. 반면 호라티우스는 시인으로서 창작 활동 제반과 시의 효용을 옹호하며, 이를 시로 써냈다. 서양 시학 전통에서 되풀이하여 일어나는 논쟁인 '전통과 현재의 패권' 싸움, 그리고 플라톤 이래 시학의 핵심 주제인 시의 가치에 대하여 호라티우스는 확실한 자신만의 대답을 갖고 있었다. 



그에게 좋은 시란 기교적으로 탁월할 뿐만 아니라 읽는 이에게 즐거움과 윤리적 교훈을 주는 것이었다. 이렇게 좋은 시는 좋은 삶과 무관하지 않다는 생각, 시의 감화력과 교육적 가치를 중요하게 여기는 그의 생각은 '시인 추방'을 주장한 플라톤과 아리스토텔레스 시학의 화해라 할 만한 것이며, 서양 문학 전통에서 확고한 위치를 차지하게 되었다.","문청, 세계시, 원전 번역, 중견 시인, 한국 시 문학, 한국 시인",호라티우스 시학 호라티우스 국내 최초 호라티우스 서간 완역 호라티우스 시학 고대 라틴어 대역 출간 호라티우스 시 전공 김 남우 박사 번역 문학 서양 문화 전통 형성 거대 뿌리 실체 있 플라톤 철학자 입장 시론 아리스토텔레스 철학자 시각 비극 시학 반면 호라티우스 시인 창작 활동 제반 시 효용 옹호 시 서양 시학 전통 되풀이 논쟁 전통 현재 패권 싸움 플라톤 시학 핵심 주제 시 가치 호라티우스 자신 대답 좋 시 기교 즐거움 윤리 교훈 좋 시 좋 삶 생각 시 감화 교육 가치 중요 생각 시인 추방 주장 플라톤 아리스토텔레스 시학 화해 서양 문학 전통 확고하 위치 차지 문 청 세계시 원전 번역 중견 시인 한국 시 문학 한국 시인
