isbn,title,author,description,hashtag,clean_text
9.78894E+12,변신이야기 1,오비디우스,"바이블과 함께 서양 문화의 두 축을 이루는, 천지창조에 관한 대서사시

“시인의 예감이 그르지 않다면 단언하거니와 명성을 통해 불사(不死)를 얻은 
 나는 영원히 살 것이다.”

성경과 함께 서양문화의 두 축을 이루는 천지창조에  관한 대서사시.  '변신 이야기 Metamorphoses'는 그 내용의 방대함은 물론 수려한 문체로 그리스-로마 신화의 최고 전범으로 평가되는 작품이다. 서양 중세 문화는 기독교와 오비디우스의 '변신 이야기'라는 두 축을 중심으로 형성되었다고 할 수도 있다. 그만큼 이 책은 아직 기독교에 물들지 않은 서양 고대의 인식체계를 고스란히 보존하고 있다. 한편 시대를 뛰어넘어 수많은 작가와 시인과 화가 들의 상상력을 자극하는 예술 창조의 원천이 되기도 했다. 이 책에 담긴 세계에 대한 풍부한 모티프들과 시적 상상력들은 서양의 인문학에 접근하려는 사람들에게 가장 기본적인 지식을 제공할 것이다. 나아가 하늘이 열리던 아득한 때와 사람이 살게 된 시대 사이에 가로놓인 긴긴 세월을 일시에 뛰어넘는 신화적 경험도 가능하게 할 것이다. 
`신들의 전성시대`, `페르세우스와 메두사`, `로물루스와 레무스`등  15개 장 128편의 신화를 담았다.","기독교, 세계고전문학, 시인, 신화, 영웅, 인식 체계",변신이야기 오비디우스 바이블 서양 문화 두 축 천지창조 관 서사시 시인 예감 그르 단언 거니 명성 통해 불사 를 나 영원하다 살 것 성경 문화 두 축 천지창조 관 서사시 변신 이야기 그 내용 방대하다 수려 문체 그리스 로마 신화 최고 전범 평가 작품 서양 중세 문화 기독교 오비디우스 변신 이야기 두 축 중심 형성 수도 있다 이 책 기독교 서양 고대 인식 체계 고스 란 보존 있다 한편 시대 수많다 작가 시인 화가 상상력 자극 예술 창조 원천 기도 이 책 세계 대한 풍부하다 모티프 시적 상상력 서양 인문학 접근 사람 가장 기본 지식 제공 것 하늘 아득하다 때 사람 살 시대 사이 세월 일시 신화 경험 가능하다 것 신들 전성 시대 페르세우스 메두사 로물루스 레무스 등 개 장 편의 신화 기독교 세계 문학 시인 신화 영웅 인식 체계
9.78894E+12,변신이야기 2,오비디우스,"바이블과 함께 서양 문화의 두 축을 이루는, 천지창조에 관한 대서사시

“시인의 예감이 그르지 않다면 단언하거니와 명성을 통해 불사(不死)를 얻은  나는 영원히 살 것이다.”

성경과 함께 서양문화의 두 축을 이루는 천지창조에  관한 대서사시.  '변신 이야기 Metamorphoses'는 그 내용의 방대함은 물론 수려한 문체로 그리스-로마 신화의 최고 전범으로 평가되는 작품이다. 서양 중세 문화는 기독교와 오비디우스의 '변신 이야기'라는 두 축을 중심으로 형성되었다고 할 수도 있다. 그만큼 이 책은 아직 기독교에 물들지 않은 서양 고대의 인식체계를 고스란히 보존하고 있다. 한편 시대를 뛰어넘어 수많은 작가와 시인과 화가 들의 상상력을 자극하는 예술 창조의 원천이 되기도 했다. 이 책에 담긴 세계에 대한 풍부한 모티프들과 시적 상상력들은 서양의 인문학에 접근하려는 사람들에게 가장 기본적인 지식을 제공할 것이다. 나아가 하늘이 열리던 아득한 때와 사람이 살게 된 시대 사이에 가로놓인 긴긴 세월을 일시에 뛰어넘는 신화적 경험도 가능하게 할 것이다. 
`신들의 전성시대`, `페르세우스와 메두사`, `로물루스와 레무스`등  15개 장 128편의 신화를 담았다.","기독교, 세계고전문학, 시인, 신화, 영웅, 인식 체계",변신이야기 오비디우스 바이블 서양 문화 두 축 천지창조 관 서사시 시인 예감 그르 단언 거니 명성 통해 불사 를 나 영원하다 살 것 성경 문화 두 축 천지창조 관 서사시 변신 이야기 그 내용 방대하다 수려 문체 그리스 로마 신화 최고 전범 평가 작품 서양 중세 문화 기독교 오비디우스 변신 이야기 두 축 중심 형성 수도 있다 이 책 기독교 서양 고대 인식 체계 고스 란 보존 있다 한편 시대 수많다 작가 시인 화가 상상력 자극 예술 창조 원천 기도 이 책 세계 대한 풍부하다 모티프 시적 상상력 서양 인문학 접근 사람 가장 기본 지식 제공 것 하늘 아득하다 때 사람 살 시대 사이 세월 일시 신화 경험 가능하다 것 신들 전성 시대 페르세우스 메두사 로물루스 레무스 등 개 장 편의 신화 기독교 세계 문학 시인 신화 영웅 인식 체계
9.78894E+12,햄릿,윌리엄 셰익스피어,"영국 최고의 극작가 셰익스피어가 낳은 문제적 인간 ‘햄릿’
삶과 죽음, 인간의 모든 문제를 담고 있는 극문학의 정수

셰익스피어의 4대 비극 중 가장 유명하고 가장 대중의 사랑을 받는 작품인 『햄릿』. 1601년에 창작한 이 작품은 격변하는 르네상스기의 흐름을 반영하는 시대정신의 산물이자, 선과 악 사이에서 갈등하며 인간의 존재 이유를 묻는 햄릿을 통해 회의적 인간의 전형을 보여 준다. 갈릴레이와 동시대인인 셰익스피어는 당시 이탈리아에서 유입된 새로운 문화로 인해 영국 사회가 술렁이던 상황, 아울러 통치자이던 엘리자베스 여왕의 총애를 듬뿍 받던 에섹스 백작이 왕위 계승 문제로 한순간에 반란자가 되는 상황을 목도하고 『햄릿』을 구상했다. 셰익스피어는 햄릿이라는 문제적 인간을 내세워 동물과 대비되는 지성의 능력과 한계, 그리고 인간의 양극성으로 인한 불안과 비극적 상황 앞에서 ‘진정한 선’이란 무엇인지를 물었다. 자신의 존재를 걸고 삶의 진실을 찾아 나가려는 햄릿의 고뇌를 통해 우리는 여전히 유효한 윤리적 질문, ‘진정한 인간이란 무엇인지’를 스스로에게 질문할 수 있을 것이다.","극 문학, 복수 극, 세계고전문학, 영국고전, 인간 존재, 죽음",햄릿 윌리엄 셰익스피어 영국 최고 극작가 셰익스피어 문제 인간 햄릿 삶 죽음 인간 모든 문제 있다 문학 정수 셰익스피어 비극 중 가장 유명하다 가장 대중 사랑 작품 햄릿 창작 이 작품 격변 르네상스 기 흐름 반영 시대정신 산 물이 선 악 사이 갈등 인간 존재 이유 햄릿 통해 회의 인간 전형 갈릴레이 시대 셰익스피어 당시 이탈리아 유입 새롭다 문화 인하다 영국 사회 상황 통치 엘리자베스 여왕 총애 듬뿍 에섹스 백작 왕위 계승 문제 한순간 반란 상황 목도 햄릿 구상 셰익스피어 햄릿 문제 인간 동물 대비 지성 능력 한계 인간 극성 인하다 불안 비극 상황 앞 진정하다 선 이란 무엇 인지 자신 존재 삶 진실 햄릿 고뇌 통해 우리 여전하다 유효하다 윤리 질문 진정하다 인간 무엇 를 스스로 질문 수 있다 것 문학 복수 세계 문학 영국 고전 인간 존재 죽음
9.78894E+12,변신 시골의사,프란츠 카프카,"20세기 실존주의 문학의 선구자 카프카, 현대 문학의 신화가 된 불멸의 단편들
불확실한 세계 속에 갇힌 소시민의 불안과 절망

“늘 있는 사건. 그것의 감내, 일상적인 당혹 한 가지.”","단편소설, 로자, 불안, 세계고전문학, 위기, 의사",변신 시골의사 프란츠 카프카 세기 실존 주의 문학 선구자 카프카 현대 문학 신화 불멸 단편 불확실하다 세계 속 소시민 불안 절망 늘 있다 사건 그것 일상 당혹 가지 단편소설 로자 불안 세계 문학 위기 의사
9.78894E+12,동물농장,조지 오웰,"풍자 우화를 통한 사회 비판을 담은 기념비적 소설
 
“모든 동물은 평등하다. 그러나 어떤 동물은 다른 동물들보다 더 평등하다.”

우화 형식으로 당대의 정치적 현실을 날카롭게 묘파한 『동물농장』은 『1984』, 『카탈로니아 찬가』와 함께 조지 오웰이 47세의 나이로 갑작스레 사망하기 전 짧은 작가 생활 동안 남긴 영국 문학의 위대한 결실이다. 이 작품이 영국에서 처음 출간된 것은 2차 세계 대전이 갓 끝난 1945년이었다. 소련과 사회주의에 민감하던 세계 정치적 분위기에서 이 작품은 처음엔 거의 모든 출판사에서 출판을 거절할 정도로 홀대받았으나, 그의 전작 『카탈로니아 찬가』를 출간했던 섹커 앤드 와버그 출판사의 결정으로 겨우 출간에 이를 수 있었다. 사실상 전시(戰時)나 다름없던 무렵 『동물농장』은 출간되자마자 초판 4500부가 매진되고 재쇄를 거듭한 끝에 영국과 미국 모두에서 베스트셀러가 되었다. 그 이후 70여 년이 훌쩍 지난 지금까지 『동물농장』의 판매량은 세계적으로 1천만 부 이상을 넘은 것으로 알려져 있다.

조지 오웰은 『동물농장』에서 인간의 속박에서 벗어나 혁명을 이루고 이상 사회를 건설한 동물 공동체가 변질되는 모습을 통해 구소련의 역사를 재현하며 스탈린 독재 체제를 강도 높게 비판한다. 작중 여러 등장인물 중 인간 주인인 존즈는 러시아 황제 니콜라스 2세를, 혁명을 호소하는 늙은 메이저는 마르크스를, 독재자 나폴레옹은 스탈린을, 나폴레옹에게 축출당하는 스노볼은 트로츠키를 상징한다. 또한 이야기 속에 등장하는 ‘동물학살’과 ‘외양간 전투’ 역시 각기 스탈린 시대의 대숙청과 연합군 침공 등으로 연결된다. 혁명이 성공한 후에 어떻게 변질되고, 권력을 잡은 지도자들이 어떻게 국민을 속이고 핍박하는지를 면밀히 그린 이 우화는 특정한 시대에만 한정되어 읽히지 않는다. 이 작품은 인류가 사회를 이루고 살 때부터 벌어진 ‘독재’를 함축적인 등장인물과 사건을 통해 그려내어 지금까지도 유효한 풍자를 담고 있으며, 그렇기에 조지 오웰이 지닌 사회비판적 문학의 역량이 여실히 드러나는 작품이다.","권력, 볼셰비키 혁명, 사회주의 혁명, 세계고전문학, 영국고전, 작품",동물농장 조지 오웰 풍자 우화 통한 사회 비판 기념비 소설 모든 동물 평등하다 어떻다 동물 다른 동물 더 평등하다 우화 형식 당대 정치 현실 날카롭다 묘파 동물농장 은 카탈로니아 찬가 조지 오웰 세 나이 갑작스레 사망 전 짧다 작가 생활 동안 영국 문학 위대하다 결실 이 작품 영국 처음 간 것 차 세계 대전 갓 소련 사회주의 민감하다 세계 정치 분위기 이 작품 처음 거의 모든 출판사 출판 거절 정도 홀 그 전작 카탈로니아 찬가 를 간 섹커 앤드 버그 출판사 결정 겨우 간 수 있다 사실 전시 나 다름없다 무렵 동물농장 은 자마자 초판 부가 매진 재쇄 거듭 끝 영국 미국 모두 베스트셀러 그 이후 여 년 훌쩍 지난 지금 동물농장 의 판매량 세계 부 이상 것 있다 조지 오웰 동물농장 인간 속박 혁명 이상 사회 건설 동물 공동체 변질 모습 통해 구소련 역사 재현 스탈린 독재 체제 강도 높다 비판 중 여러 등장인물 중 인간 주인 존즈 러시아 황제 니콜라스 세 혁명 호소 메이저 마르크스 독재자 나폴레옹 스탈린 나폴레옹 축출 당하다 스노볼 트로츠키 상징 또한 이야기 속 등장 동물 학살 과 외양간 전투 역시 각기 스탈린 시대 대숙청 연합군 침공 등 연결 혁명 성공하다 후 어떻다 변질 권력 지도자 어떻다 국민 속 핍박하다 면밀하다 그린 이 우화 특정하다 시대 한정 이 작품 인류 사회 살 때 독재 를 함축 등장인물 사건 통해 지금 유효하다 풍자 있다 그렇다 조지 오웰 사회 비판 문학 역량 여실히 작품 권력 볼셰비키 혁명 사회주의 혁명 세계 문학 영국 고전 작품
9.78894E+12,허클베리 핀의 모험,마크 트웨인,"‘미국 문학의 아버지’ 마크 트웨인의 대표작
폭력과 편견을 넘어 자연과 호흡하는 모험을 그린 성장 소설
동심 어린 반어와 해학으로 인종 문제를 비판하고 인습을 깨뜨린 고전

“사람이란 무엇인가를 눈으로 보고 있으면서도 알아보지 못하는 수가 있다니까.”","모험, 미국소설, 미시시피 강, 세계고전문학, 용기, 창작 방법",베리 핀 모험 마크 트웨인 미국 문학 아버지 마크 트웨인 대표 작 폭력 편견 자연 호흡 모험 그린 성장 소설 동심 반어 해학 인종 문제 비판 인습 고전 사람 무엇 를 눈 보고 있다 수가 있다 모험 미국 소설 미시시피 강 세계 문학 용기 창작 방법
9.78894E+12,암흑의 핵심,조셉 콘래드,"20세기 영국 소설을 개척한 조지프 콘래드
문명과 야만, 인간 본성의 그늘과 제국주의의 위선을 파헤친 대작
프랜시스 코폴라 감독의 영화 「지옥의 묵시록」의 원작 소설

“우리가 인생에서 희망할 수 있는 최선의 것은 우리 자아에 대한 약간의 앎이지. 
그런데 그 앎은 너무 늦게 찾아와서 결국 지울 수 없는 회한이나 거둬들이게 돼.”","군림, 세계고전문학, 영국소설, 원주민, 탐험, 헨리 제임스",암흑 핵심 조 콘래드 세기 영국 소설 개척 지프 콘래드 문명 야만 인간 본성 그늘 제국주의 위선 대작 프랜시스 코 폴라 감독 영화 지옥 의 원작 소설 우리 인생 희망 수 있다 최선 것 우리 자아 대한 약간 그 수 없다 회한 군림 세계 문학 영국 소설 원주민 탐험 헨리 제임스
9.78894E+12,토니오 크뢰거 · 트리스탄 · 베니스에서의 죽음,토마스 만,"20세기 독일의 가장 위대한 소설가 토마스 만
시민적 세계와 예술적 세계 사이의 긴장과 조화, 정신적 성장의 과정
독일 문학을 대표하는 작가의 창작 세계 전반을 아우르는 대표 단편선

“이 사랑을 욕하지 마십시오. 그것은 선량하고 생산적인 사랑이랍니다. 동경이
그 속에 들어 있습니다. 그리고 또, 우울한 질투와 아주 조금의 경멸과 완전하
고도 순결한 천상적 행복감이 그 속에 들어 있습니다.”","경멸, 단편소설, 독일소설, 세계고전문학, 예술가, 작품 해설",토니 오 크뢰거 트리스탄 베니스 죽음 토마스 만 세기 독일 가장 위대하다 소설가 토마스 만 시민 세계 예술 세계 사이 긴장 조화 정신 성장 과정 독일 문학 대표 작가 창작 세계 전반 대표 단편 선 이 사랑 욕 그것 선량하다 생산 사랑 랍니 동경 그 속 있다 또 우울하다 질투 아주 조금 경멸 완전하다 고도 순결하다 상적 행복감 그 속 있다 경멸 단편소설 독일 소설 세계 문학 예술가 작품 해설
9.78894E+12,문학이란 무엇인가,장 폴 사르트르,"20세기를 대표하는 세계적인 지성 장폴 사르트르
문학의 본질에 대한 놀라운 통찰력으로 명료하고 경쾌하게 진술한 문제작

“한 사람이 작가가 되는 것은 어떤 것을 말하기를 선택했기 때문이 아니라,
그것을 어떤 방법으로 말하기를 선택했기 때문이다. 우리에게는 글 쓰기란
하나의 기도(企圖)이다.”

『문학이란 무엇인가』는 ‘실존주의’라는 용어와 더불어 세계적 명성을 누린 20세기 대표 철학자 사르트르가 자신의 문학론을 개진한 중요한 저서이다. 그러나 책의 가치와 유명세가 무색하리만큼 국내에서는 이 책이 제대로 소개된 적이 없었다. 민음사에서 출간한 『문학이란 무엇인가』는 국내 불문학계의 태두(泰斗) 정명환 교수가 십수 년간 번역과 해석 작업에 매달린 집념의 결과물이다. 정명환 교수는 이전에 번역 출간된 책들에서 대부분 누락된 원전의 네 번째 장 ‘1947년의 작가의 상황’까지 포함해 원전을 완역했다. 뿐만 아니라, 오백 개에 이르는 상세한 각주를 통해 작품의 이해를 돕는다.",,문학 무엇 장 폴 사르트르 세기 대표 세계 지성 장폴 사르트르 문학 본질 대한 놀랍다 통찰 명료하다 경쾌하다 진술 제작 사람 작가 것 어떻다 것 말 선택 때문 아니다 그것 어떻다 방법 말 선택 때문 우리 글 쓰기 란 하나 기도 문학 무엇 실존 주의 용어 세계 명성 세기 대표 철학자 사르트르 자신 문학 론 개진 중요하다 저서 책 가치 유명 세 무색 하리 국내 이 책 제대로 소개 적 없다 민음사 간 문학 무엇 국내 불문학 태두 정명 환 교수 십수 년 번역 해석 작업 집념 결과물 정명 환 교수 이전 번역 간 책 대부분 누락 원전 네 장 작가 상황 포함 원전 완역 뿐 아니다 오백 개 상세 각주 통해 작품 이해
9.78894E+12,한국단편문학선 1,김동인,"한국문학의 정수, 우리 작가의 빼어난 단편 소설 19편
일제 강점기의 고난과 해방 직후의 비극을 견디며 성장한 한국의 단편 소설
시대 현실을 오롯이 담아내면서도 세대를 넘어 깊은 통찰을 전하는 명단편선

“새침하게 흐린 품이 눈이 올 듯하더니 눈은 아니 오고 얼다가 만 비가 추적추적 내리었다.”","모밀, 새침, 세계고전문학, 편선, 한국고전문학, 한국소설",한국 단편 문학 선 김동인 국문학 정수 우리 작가 빼어나다 단편 소설 편 일제 강점 기 고난 해방 직후 비극 성장하다 한국 단편 소설 시대 현실 롯 세대 깊다 통찰 전하 명단 편선 새침하다 품 눈 듯 눈 아니다 만 비 모밀 침 세계 문학 편선 한국 문학 한국 소설
